Species,Total.Precipitation,Density.2
Ephemeroptera,17.7,17.4
Ephemeroptera,13.6,14.8
Ephemeroptera,,
Ephemeroptera,21.4,9.1
Ephemeroptera,21.8,13.9
Ephemeroptera,17.7,14.5
Ephemeroptera,31.0,8.7
Ephemeroptera,21.2,13.7
Ephemeroptera,25.6,7.3
Ephemeroptera,28.0,5.4
Ephemeroptera,23.9,2.7
Trichoptera,17.7,3.9
Trichoptera,13.6,4.3
Trichoptera,,2.4
Trichoptera,21.4,1.9
Trichoptera,21.8,2.6
Trichoptera,17.7,2.3
Trichoptera,31.0,1.8
Trichoptera,21.2,3.2
Trichoptera,25.6,0.5
Trichoptera,28.0,1.6
Trichoptera,23.9,0.6